"Name","RSS","Model","logK1","H1","logK2","H2","logK3","H3","logK4","H4","logK5","H5","fH","fG","V_init","Offset","H_cell_0","G_syringe","V_cell","V_inj","n_inj","V_pre","Temp"
"2026-01-26 23:23","3.348e+06","rxn_M+rxn_D+rxn_T+rxn_B",7.255,-6703,7.557,-7970,7.218,-9255,6.958,-6516,7,-6000,1,0.871901703293302,0.353508696604704,14,30,600,0.2033,1.5,26,0.4,298.15
"2026-01-26 23:25","3.346e+06","rxn_M+rxn_D+rxn_T+rxn_B",7.261,-6703,7.563,-7959,7.215,-9257,6.956,-6522,7,-6000,1,0.871486582240583,0.353508696604704,20,30,600,0.2033,1.5,26,0.4,298.15
