error_analysis_hessian_1,"1. 局部二次近似：在最优参数点处，目标函数RSS(θ)近似为二次型，RSS(θ) ≈ RSS(θ*) + (θ-θ*)'H(θ-θ*)/2，其中H是Hessian矩阵（二阶导数矩阵）。","1. Local Quadratic Approx.: At opt. param. point, objective function RSS(θ) ≈ quadratic, RSS(θ) ≈ RSS(θ*) + (θ-θ*)'H(θ-θ*)/2, where H is Hessian matrix (2nd derivative matrix).",Description,
error_analysis_hessian_2,"2. 协方差矩阵：Cov(θ) = σ² × H⁻¹，其中σ²是残差方差，H⁻¹是Hessian矩阵的逆。协方差矩阵的对角线元素是各参数的方差。","2. Covariance Matrix: Cov(θ) = σ² × H⁻¹, where σ² is residual variance, H⁻¹ is inverse of Hessian matrix. Diagonal elements of covariance matrix are variances of params.",Description,
error_analysis_hessian_3,"3. 标准误差：SE(θᵢ) = √Var，即方差的平方根。","3. Std. Error: SE(θᵢ) = √Var, i.e., square root of variance.",Description,
error_analysis_hessian_4,"4. 置信区间：CI = θ* ± t(α/2, df) × SE，其中df = n-p是自由度，t是t分布的临界值。","4. Confidence Interval: CI = θ* ± t(α/2, df) × SE, where df = n-p is DOF, t is t-distribution critical value.",Description,
error_analysis_improvements,改进措施：,Improvements:,Section,
error_analysis_improvements_desc,自适应步长、正则化技术、伪逆处理，提高数值稳定性。,"Adaptive step size, regularization techniques, pseudo-inverse processing to improve numerical stability." ,Description,
error_analysis_applicability,适用性评估：,Applicability Assessment:,Section,
error_analysis_applicability_1,自由度 ≥ 10：可靠性较好,DOF ≥ 10: Good reliability,Description,
error_analysis_applicability_2,自由度 5-10：可靠性中等，结果可用但需谨慎解释,"DOF 5-10: Moderate reliability, results usable but interpret with caution",Description,
error_analysis_applicability_3,自由度 < 5：可靠性较低，置信区间可能偏窄,"DOF < 5: Low reliability, CI may be too narrow",Description,
error_analysis_applicability_4,小样本时可能低估参数不确定性,Small samples may underestimate param. uncertainty,Description,
error_analysis_disabled,误差分析已关闭。开启开关后，下次拟合将自动计算误差分析。,"Error analysis disabled. After enabling, will auto-calc in next fitting.",Message,
error_analysis_table_param,参数,Params,Table Header,
error_analysis_table_value,最优值,Opt. Value,Table Header,
error_analysis_table_se,标准误差,Std. Error,Table Header,
error_analysis_table_ci,95% 置信区间,95% CI,Table Header,
error_analysis_no_result,暂无误差分析结果。请先进行拟合。,No error analysis results yet. Please perform fitting first.,Message,
error_analysis_note,注：仅显示 logK 和 H 参数的误差分析结果,Note: Only showing results for logK & H params,Note,
error_analysis_reliability,可靠性评价：,Reliability Assess.,Section,
error_analysis_reliability_good,可靠性较好，置信区间较为可靠。,"Good reliability, CI relatively reliable.",Description,
error_analysis_reliability_moderate,可靠性中等，结果可用但需谨慎解释。小样本时可能低估参数不确定性。,"Moderate reliability, results usable but interpret with caution. Small samples may underestimate param. uncertainty.",Description,
error_analysis_reliability_low,可靠性较低，置信区间可能偏窄，结果仅供参考。,"Low reliability, CI may be too narrow, results for reference only.",Description,
error_analysis_data_points,数据点数：,# of Data:,Label,
error_analysis_fit_params,拟合参数：,Fitted Params:,Label,
error_analysis_dof,自由度：,DOF:,Label,
plot_tab_itc,滴定曲线,Thermogram,Tab,
plot_tab_dist,物种分布,Species Dist.,Tab,
plot_tab_residuals,残差诊断,Residual Diag.,Tab,
plot_tab_corr,参数相关性,Param. Correlation,Tab,
axis_simulated_ratio,模拟的 G/H 比例,Simulated G/H Ratio,Axis Label,
axis_experimental_ratio,实验的 G/H 比例,Experimental G/H Ratio,Axis Label,
axis_heat_per_inj,每针热量 (kcal/mol),Heat per Inj (kcal/mol),Axis Label,
axis_fraction_based_on_h,物种分布（基于 H）,Fraction (based on H),Axis Label,
legend_simulation,模拟数据,Simulation,Legend Label,
legend_experiment,实验数据,Experiment,Legend Label,
legend_excluded,排除点,Excluded,Legend Label,
legend_solver_fail,求解失败,Solver Fail,Legend Label,
legend_species,物种,Species,Legend Label,
residual_tab_1,残差 vs 拟合值,Resid. vs Fitted Value,Tab,
residual_tab_2,残差 vs 针数,Resid. vs Inj #,Tab,
residual_tab_3,残差直方图,Resid. Hist.,Tab,
residual_tab_4,残差 Q-Q 图,Resid. Q-Q Plot,Tab,
residual_plot_title_1,残差 vs 拟合值,Resid. vs Fitted Value,Plot Title,
residual_plot_x_1,拟合值 (kcal/mol),Fitted Value (kcal/mol),Axis Label,
residual_plot_y_1,残差 (kcal/mol),Residual (kcal/mol),Axis Label,
residual_plot_title_2,残差 vs 针数,Residual vs Inj #,Plot Title,
residual_plot_x_2,针数,Inj #,Axis Label,
residual_plot_y_2,残差 (kcal/mol),Residual (kcal/mol),Axis Label,
residual_plot_title_3,残差分布直方图,Residual Dist. Hist.,Plot Title,
residual_plot_x_3,残差 (kcal/mol),Residual (kcal/mol),Axis Label,
residual_plot_y_3,频数,Freq.,Axis Label,
residual_plot_title_4,Q-Q 图（正态性检验）,Q-Q Plot (Normality Test),Plot Title,
residual_plot_x_4,理论分位数,Theor. Quantile,Axis Label,
residual_plot_y_4,样本分位数,Sample Quantile,Axis Label,
residual_no_data,无有效残差数据,No valid residual data,Message,
residual_no_data_alt,暂无残差数据,No residual data yet,Message,
residual_data_invalid,残差数据格式不正确,Residual data format incorrect,Message,
correlation_plot_title,参数相关性矩阵,Param. Corr. Matrix,Plot Title,
correlation_legend_label,相关系数,Correlation Coefficient,Legend Label,
correlation_no_data,暂无相关性矩阵数据,No correlation matrix data yet,Message,
correlation_no_params,未找到有效的拟合参数,No valid fitting params found,Message,
snapshot_name_placeholder,输入快照名称...,Enter snapshot name...,Placeholder,
unknown_file,未知文件,Unknown File,Message,
report_title,拟合报告,Fitting Report,Dialog Title,
report_save_txt,保存为TXT,Save as TXT,Button,
report_copy_clipboard,复制到剪贴板,Copy to Clipboard,Button,
report_close,关闭,Close,Button,
report_copy_success,报告已复制到剪贴板,Report copied to clipboard!,Message,
report_copy_failed,复制失败,Failed to copy.,Message,
report_copy_failed_with_error,复制失败: %s,Failed to copy: %s,Message,
snapshot_save_success,参数快照已保存,Param. snapshot saved,Message,
snapshot_clear_confirm_title,确认清除,Confirm Clear,Modal Title,
snapshot_clear_confirm_msg,确定要清空所有已保存的参数快照吗？此操作无法撤销。,Are you sure you want to clear all saved param. snapshots? This action cannot be undone.,Modal Message,
snapshot_clear_confirm_cancel,取消,Cancel,Button,
snapshot_clear_confirm_ok,确定清除,Confirm Clear,Button,
snapshot_clear_success,所有参数快照已清空,All param. snapshots cleared,Message,
reset_confirm_title,确认恢复默认,Confirm Reset to Default,Modal Title,
reset_confirm_msg,确定要将所有变量 恢复为默认值 吗？此操作不可撤销。建议先点击 '保存快照' 存储当前参数。,Are you sure you want to reset all variables to default values? This action cannot be undone. It is recommended to save a snapshot first to store current params.,Modal Message,
reset_confirm_cancel,取消,Cancel,Button,
reset_confirm_ok,确认,Confirm,Button,
reset_success,所有变量已恢复为默认值,All variables reset to default values,Message,
fit_params_select,选择拟合参数:,Variances:,Label,
fit_params_select_all,全选,Select All,Button,
fit_params_deselect_all,全不选,Deselect All,Button,
fit_progress_precheck,预检查参数和数据...,Pre-checking params & data...,Progress,
fit_progress_de,正在进行 DE 全局搜索...,Performing DE global search...,Progress,
fit_progress_lbfgsb,正在进行 L-BFGS-B 拟合...,Performing L-BFGS-B fitting...,Progress,
fit_progress_de_done,DE 全局搜索完成，处理结果..."DE global search completed, processing results...",Progress,
fit_progress_lbfgsb_done,L-BFGS-B 拟合完成，处理结果...,"L-BFGS-B fitting completed, processing results...",Progress,
fit_progress_prepare,准备结果...,Preparing results...,Progress,
fit_progress_update,更新参数...,Updating params...,Progress,
fit_progress_error_analysis,进行误差分析...,Performing error analysis...,Progress,
fit_progress_done,完成,Completed,Progress,
fit_progress_error,出错,Error,Progress,
fit_error_in_progress,拟合正在进行中，请等待当前拟合完成,"Fitting in progress, please wait for current fitting to complete",Message,
fit_error_sim_calc,模拟计算出错：,Simulation calculation error:,Error Message,
fit_error_cannot_start,拟合无法启动：,Fitting cannot start:,Error Message,
fit_error_sim_null,拟合无法启动：模拟计算返回NULL。请检查：\n1. 参数是否在合理范围内\n2. 反应路径是否正确\n3. 浓度和体积参数是否正确,Fitting cannot start: Simulation calculation returned NULL. Please check:\n1. Are parameters within reasonable range?\n2. Are reaction paths correct?\n3. Are concentration and volume parameters correct?,Error Message,
fit_error_invalid_values,拟合无法启动：模拟结果包含{count}个无效值（NaN或Inf）。\n请检查：\n1. logK值是否在合理范围（1-9）\n2. H值是否在合理范围（-15000到5000）\n3. 浓度参数是否正确,Fitting cannot start: Simulation results contain {count} invalid values (NaN or Inf).\nPlease check:\n1. Are logK values in reasonable range (1-9)?\n2. Are H values in reasonable range (-15000 to 5000)?\n3. Are concentration parameters correct?,Error Message,
fit_error_invalid_range,拟合无法启动：拟合区间无效。\n模拟数据有{sim_count}针，实验数据有{exp_count}针。\n请检查拟合区间设置（当前：{start}-{end}）,"Fitting cannot start: Invalid fitting range.\nSimulation data has {sim_count} injections, experimental data has {exp_count} injections.\nPlease check fitting range settings (current: {start}-{end})",Error Message,
fit_error_rss_too_large,拟合无法启动：模拟与实验数据差异过大（RSS = {rss}）。\n建议：\n1. 先手动调整参数使曲线大致对齐\n2. 检查实验数据是否正确导入\n3. 检查模型路径是否匹配实验条件,Fitting cannot start: Difference between simulation and experimental data is too large (RSS = {rss}).\nSuggestions:\n1. Manually adjust parameters to roughly align curves first\n2. Check if experimental data is imported correctly\n3. Check if model paths match experimental conditions,Error Message,
fit_error_no_match,拟合无法启动：计算出错或模拟与实验数据完全不匹配。\n请检查参数设置和实验数据。,Fitting cannot start: Calc. error or simulation & expt. data completely mismatched.\nPlease check param. settings & expt. data.,Error Message,
fit_error_process,拟合过程出错,Fitting process error,Error Message,
fit_error_deoptim_required,请先安装 'DEoptim' 包以使用全局搜索功能: install.packages('DEoptim'),Please install 'DEoptim' package to use global search: install.packages('DEoptim'),Error Message,
fit_error_insufficient_data,数据点不足，无法进行误差分析,"Insufficient data points, cannot perform error analysis",Error Message,
fit_error_analysis_error,误差分析出错：,Error analysis error:,Error Message,
import_params_success,已加载参数组：,Loaded param. group:,Message,
